schoolid,schoolname,CalendarYear,Firsttimebaryear,GradTotal,GradDidNotTake,GradTakers,graddidnottakepct,GradNoInfo,gradnoinfopct,graddidnottakenoinfopct,PriorYrFirstTimeTaker,EarlyFirstTimeTakers,TotalFirstTimeTakers,totalfirsttimepassers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,UltimateBarYear,UltimateCohortTotal,UltimateDidNotTake,UltimateNoInfo,UltimateTakers,UltimatePassers,UltimateSchoolPassPct,GradDipPriv,AvgPassPctDipPriv,UltimateDipPriv,UltimatePassPctDipPriv
00100300,Faulkner University,2009,2008,,,,,,,,,,62,,0.9839,0.9344,0.8903,0.0441,,,,,,,,,,,
00100300,Faulkner University,2010,2009,,,,,,,,,,75,,0.8933,0.8956,0.8639,0.0317,,,,,,,,,,,
00100300,Faulkner University,2011,2010,,,,,,,,,,83,,0.8916,0.919,0.8448,0.0742,,,,,,,,,,,
00100300,Faulkner University,2012,2011,,,,,,,,,,99,,0.8586,0.8941,0.8712,0.0229,,,,,,,,,,,
00100300,Faulkner University,2013,2012,,,,,,,,,,97,,0.7629,0.8785,0.8558,0.0227,,,,,,,,,,,
00100300,Faulkner University,2014,2013,,,,,,,,,,98,,0.7551,0.9189,0.8676,0.0513,,,,,,,,,,,
00100300,Faulkner University,2015,2014,,,,,,,,,,80,,0.725,0.6897,0.8845,-0.1948,,,,,,,,,,,
00100300,Faulkner University,2016,2015,,,,,,,,,,91,,0.978,0.6514,0.7986,-0.1472,,,,,,,,,,,
00100300,Faulkner University,2017,2016,77,13,,,3,,,10,,71,,,0.7042,0.7804,-0.0762,,,,,,,,,,,
00100300,Faulkner University,2018,2017,74,8,,,7,,,14,,73,,,0.5068,0.78,-0.2732,2015,89,2,0,87,72,0.8276,,,,
00100300,Faulkner University,2019,2018,83,18,,0.2169,0,0,0.2169,11,,76,42,,0.5527,0.7756,-0.2229,2016,77,2,0,75,60,0.8,,,,
00100300,Faulkner University,2020,2019,62,8,,0.129,0,0,0.129,17,0,71,52,,0.7324,0.8376,-0.1052,2017,74,2,0,72,45,0.625,,,,
00100300,Faulkner University,2021,2020,52,8,44,0.1538,0,0,0.1538,7,0,51,32,,0.6274,0.7926,-0.1652,2018,83,2,0,81,62,0.7654,0,62.74,0,76.54
00100300,Faulkner University,2022,2021,61,15,46,0.2459,0,0,0.2459,4,,50,36,,0.72,0.7921,-0.0721,2019,62,3,0,59,51,0.8644,0,72,0,86.44
00103600,Samford University,2009,2008,,,,,,,,,,156,,0.7308,0.9473,0.8907,0.0566,,,,,,,,,,,
00103600,Samford University,2010,2009,,,,,,,,,,150,,0.7,0.9238,0.8651,0.0587,,,,,,,,,,,
00103600,Samford University,2011,2010,,,,,,,,,,148,,0.7905,0.9402,0.8491,0.0911,,,,,,,,,,,
00103600,Samford University,2012,2011,,,,,,,,,,141,,0.7589,0.9252,0.8758,0.0494,,,,,,,,,,,
00103600,Samford University,2013,2012,,,,,,,,,,156,,0.7179,0.9643,0.8756,0.0887,,,,,,,,,,,
00103600,Samford University,2014,2013,,,,,,,,,,152,,0.8289,0.8492,0.8656,-0.0164,,,,,,,,,,,
00103600,Samford University,2015,2014,,,,,,,,,,123,,0.813,0.83,0.8705,-0.0405,,,,,,,,,,,
00103600,Samford University,2016,2015,,,,,,,,,,107,,0.8598,0.7935,0.8114,-0.0179,,,,,,,,,,,
00103600,Samford University,2017,2016,151,29,,,0,,,21,,143,,,0.6364,0.7753,-0.1389,,,,,,,,,,,
00103600,Samford University,2018,2017,144,26,,,7,,,21,,132,,,0.7045,0.7817,-0.0772,2015,134,12,13,109,99,0.9083,,,,
