Rank,School,10 Year Avg,5 Year Avg,15 Year Avg,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
1,Yale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Stanford,2.2,2,2.3,2,2,2,2,2,2,3,2,3,2,2,3,3,3,2
3,Harvard,2.7,3.2,2.5,4,3,3,3,3,3,2,2,2,2,3,2,2,2,2
4,Chicago,3.9,3.8,4.5,3,4,4,4,4,4,4,4,4,4,5,5,5,6,7
5,Columbia,4.3,4.4,4.2,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4
6,NYU,6.1,6.2,5.9,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5
7,Pennsylvania,6.8,6.6,6.9,6,6,7,7,7,7,7,7,7,7,7,7,7,8,7
8,Virginia,8,8.2,8.3,8,8,8,8,9,8,8,8,8,7,7,9,10,10,9
9,Berkeley,9.2,9.2,8.4,9,9,9,10,9,12,8,8,9,9,7,8,7,6,6
10,Michigan,9.2,9.2,9.1,10,10,9,9,8,8,8,11,10,9,10,7,9,9,9
11,Duke,10.4,11,11,11,10,12,10,11,10,11,8,10,11,11,11,11,10,12
12,Northwestern,11.3,11,11,13,12,9,10,11,10,12,12,12,12,12,12,11,10,9
13,Cornell,12.9,13,13,12,13,13,13,13,13,13,13,13,13,14,13,13,13,12
14,Georgetown,14.1,14,14,14,15,14,14,14,15,14,14,13,14,13,14,14,14,14
15,Texas,15.4,16,15,17,16,16,16,15,14,15,15,15,15,16,14,15,15,16
16,UCLA,15.6,15,16,15,14,15,15,16,15,17,16,16,17,15,16,15,15,16
17,Vanderbilt,16.7,17,17,17,16,18,18,17,17,16,17,16,15,16,16,17,17,15
18,Wash.,17.6,17,18,16,16,17,18,18,18,18,18,18,19,23,18,19,19,19
19,USC,18.7,19,18,20,19,18,17,19,19,17,20,20,18,18,18,18,18,18
20,Minnesota,20.8,21,21,21,22,21,20,20,23,22,20,20,19,19,20,22,20,22
21,Boston University,22.7,20,23,17,20,20,23,22,23,20,26,27,29,26,22,22,20,21
22,Notre Dame,22.7,23,23,25,22,22,21,24,20,22,22,26,23,22,23,22,23,22
23,Emory,23.6,26,24,30,29,24,26,22,22,22,19,19,23,24,30,22,20,22
24,GW,23.9,24,23,25,27,23,22,24,30,25,22,20,21,20,20,20,28,20
25,Iowa,25.3,28,26,28,29,27,27,27,20,20,22,27,26,29,27,26,26,27
26,Alabama,25.3,27,28,25,25,31,25,27,26,28,22,23,21,29,35,38,30,32
27,Arizona State University,26.9,27,32,30,25,24,27,27,25,25,26,31,29,26,40,38,55,52
28,UC Irvine,28.6,29,29,37,35,27,23,21,28,28,30,,,,,,,
29,Georgia,30.2,29,31,29,27,31,27,32,30,33,31,29,33,34,35,28,35,32
30,Boston College,30.8,30,30,37,29,31,27,27,26,30,34,36,31,29,27,28,26,26
31,University of North Carolina,32.6,31,33,23,24,27,34,45,39,38,34,31,31,38,30,28,30,38
32,Wisconsin,32.9,34,33,43,29,38,34,27,30,33,31,31,33,35,35,28,35,36
33,William and Mary,33.2,34,32,30,35,31,39,37,41,33,29,24,33,35,27,28,28,30
34,Indiana University Bloomingdale,33.2,38,31,43,43,38,34,32,30,25,33,29,25,26,23,27,23,36
35,Ohio State,33.5,35,34,30,40,38,34,32,30,30,34,31,36,39,35,34,35,32
36,Washington & Lee,34,32,32,35,35,31,34,26,28,40,42,43,26,24,30,34,30,25
37,UC Davis,35.2,36,34,37,35,38,31,37,39,30,31,36,38,29,23,28,35,44
38,University of Washington,35.5,42,33,49,45,42,44,32,30,33,28,24,28,20,30,34,30,30
39,Fordham,35.6,35,34,37,35,27,39,37,36,37,34,36,38,29,30,34,30,27
40,BYU,36.7,34,38,23,29,37,39,41,46,38,34,36,44,39,42,42,41,44
41,Florida,36.9,28,41,21,21,24,31,41,41,48,47,49,46,48,47,47,51,46
42,Wake Forest,37.3,37,38,37,41,42,31,32,36,40,47,31,36,44,31,38,40,42
43,Illinois,38.3,34,34,35,29,31,39,37,44,40,41,40,47,35,23,21,23,27
44,George Mason,41.4,40,41,30,41,42,45,41,41,45,42,46,41,39,40,42,41,38
45,Arizona,42.6,44,42,45,46,47,39,41,48,40,42,40,38,43,42,38,43,38
46,Colorado,43.7,47,43,49,48,46,45,46,36,40,40,43,44,44,47,38,45,32
47,Utah,44.7,45,45,37,43,45,47,54,44,45,42,49,41,47,42,42,45,51
48,Maryland,47.5,49,46,47,50,47,52,49,48,48,47,46,41,39,42,48,43,42
49,Florida State University,48.1,48,50,47,48,50,48,47,48,50,50,45,48,51,50,54,52,55
50,SMU,49.5,54,49,58,52,56,52,50,46,45,46,42,48,51,50,48,49,46
51,Tulane,51.3,54,50,55,60,54,52,47,51,50,50,46,48,51,47,48,45,44
52,University of Richmond,52.9,52,59,52,53,54,52,50,57,55,52,51,53,58,67,86,77,68
53,Baylor,53.1,53,55,58,58,50,48,50,51,55,56,51,54,51,56,64,65,55
54,Temple,53.9,53,57,63,53,56,48,47,53,50,52,61,56,58,61,72,65,60
55,UC Hastings,54.5,56,50,51,50,59,62,58,54,50,59,54,48,44,42,42,39,38
56,Pepperdine,55.6,49,55,52,46,47,51,65*,72,65,52,54,61,49,54,52,55,59
57,Houston,55.8,58,56,58,60,56,59,56,54,50,59,58,48,57,56,60,59,55
58,Connecticut,56.8,55,56,64,58,50,52,50,54,65,63,54,58,62,56,54,52,46
59,Cardozo,60.2,53,58,52,53,53,52,56,65,74,75,64,58,56,50,52,49,55
60,Tennessee,61.7,62,61,56,60,70,59,65,57,65,52,72,61,69,56,60,59,52
61,Seton Hall,64,65,66,73,70,62,59,59,57,65,63,68,64,69,61,72,77,66
62,Penn State University Dick.,64.7,62,66,58,60,62,71,59,65,86,71,51,64,76,60,72,65,77
63,Kentucky,65,71,64,67,81,70,71,65,57,60,63,58,58,62,71,64,55,59
64,Missouri,65.2,65,70,67,60,67,64,65,65,65,59,64,76,76,107,93,65,59
65,Georgia State University,66,73,65,78,78,76,67,65,65,57,56,64,54,58,61,60,65,77
66,UNLV,66.4,61,70,67,60,62,58,59,62,78,67,83,68,76,71,78,75,88
67,Case Western,67.2,72,65,78,72,76,71,65,62,57,59,64,68,67,61,56,55,63
68,Penn State University College Park,67.6,64,68,64,60,60,64,74,82,86,71,51,64,76,60,72,65,77
69,Miami,68.1,69,69,73,72,67,67,65,77,60,63,61,76,69,77,60,71,82
70,Nebraska,68.3,80,76,78,87,76,77,80,57,57,56,54,61,89,84,93,111,73
71,"Loyola, L.A.",68.8,66,66,67,72,62,62,65,65,65,75,87,68,51,54,56,71,63
72,Oklahoma,69,73,70,88,67,76,71,63,72,60,67,58,68,82,71,72,71,70
73,Kansas,69.9,70,71,67,70,70,67,74,65,65,67,68,86,89,79,67,65,73
74,San Diego,70.7,72,73,78,78,74,67,63,76,72,67,68,64,69,77,80,77,88
75,Villanova,73.6,61,74,56,53,62,71,65,77,74,87,93,98,101,84,67,61,68
76,Loyola Chicago,74.8,74,76,73,78,70,77,74,82,72,78,68,76,67,71,78,87,82
77,American,75,77,66,73,81,76,77,80,86,78,71,72,56,49,50,48,45,46
78,Texas A&M,75.1,64,75,46,53,60,83,80,92,112,,,,,,,,
79,Northeastern,75.8,69,78,73,67,67,64,74,65,82,87,93,86,76,71,86,94,88
80,Cincinnati,77.3,80,71,88,81,83,83,65,72,60,82,79,80,69,61,56,52,52
81,San Diego,78.3,83,74,64,86,83,86,95,77,74,71,79,68,65,67,56,61,82
82,Pittsburgh,78.2,74,76,78,67,76,77,74,82,78,78,81,91,69,71,67,71,73
83,New Mexico,81.5,94,78,91,102,99,91,88,77,60,71,72,64,69,79,67,77,68
84,Arkansas-Fay.,81.8,90,85,86,96,90,91,88,77,86,75,61,68,89,84,86,94,111
85,Rutgers,82.3,81,82,86,91,76,77,74,62,92,95,82,89,91,84,80,82,77
86,St. John's,82.3,78,83,84,72,74,77,83,72,74,82,107,98,76,95,72,87,88
87,Oregon,83.5,79,82,67,72,88,83,85,86,78,82,100,94,82,79,80,77,82
88,Chicago-Kent,83.6,88,79,94,91,83,87,85,92,86,78,72,68,62,61,80,77,66
89,Brooklyn,84.2,83,78,98,81,83,71,83,88,97,78,83,80,65,67,67,61,63
90,Wayne State,89.6,80,97,58,72,83,91,98,100,97,105,87,105,110,121,111,111,111
91,Lewis & Clark,90.6,94,82,88,88,93,104,95,100,92,94,72,80,58,67,64,61,73
92,St. Louis University,90.9,91,94,98,91,90,90,88,88,82,87,93,102,101,104,111,94,96
93,Michigan State,91.1,91,95,91,91,93,91,88,96,100,94,87,80,82,95,111,111,111
94,South Carolina,91.9,91,95,84,96,96,91,88,88,92,93,93,98,109,104,111,87,95
95,LSU,91.8,100,88,105,109,96,100,88,96,82,94,72,76,76,84,80,75,88
96,Florida International University,92.3,94,99,98,88,90,91,101,100,103,102,45,105,113,111,111,111,111
97,Hawaii,93.1,95,93,91,98,96,91,101,100,92,82,100,80,106,95,72,111,82
98,New Hampshire,93.3,90,103,105,88,87,87,85,100,82,87,93,119,142,143,111,111,111
99,Tulsa,93.6,106,98,118,111,111,87,101,82,86,82,72,86,99,109,111,111,111
100,Louisville,94.5,102,96,94,98,99,108,113,92,92,94,87,68,89,100,111,98,100
101,Syracuse,96.3,99,97,103,102,111,91,88,92,86,87,107,96,96,100,86,111,100
102,Buffalo-SUNY,98,100,96,94,98,99,104,106,106,100,87,100,86,82,84,111,85,100
103,Indiana-Ind.,101,107,95,98,111,122,108,98,88,100,102,87,98,89,79,86,87,68
104,Marquette,101,99,100,105,102,102,91,95,100,123,105,93,94,96,95,111,87,95
105,West Virginia,101,110,102,118,116,111,100,106,96,97,94,83,91,101,95,93,111,111
106,Catholic,103,105,98,94,102,111,108,110,106,103,108,107,80,82,79,98,94,88
,,,,,,,,,,,,,,,,,,,
See https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3026293,,,,,,,,,,,,,,,,,,,
