schoolid,schoolname,CalendarYear,NumApps,NumFTApps,NumPTApps,NumOffers,NumFTOffers,NumPTOffers,NumMatriculants,NumFTMatriculants,NumPTMatriculants,OtherFirstYear,TotalFirstYear,FTFirstYear,PTFirstYear,UGGPA75,FTUGGPA75,PTUGGPA75,UGGPA50,FTUGGPA50,PTUGGPA50,UGGPA25,FTUGGPA25,PTUGGPA25,UGGPAExcl,FTUGGPAExcl,PTUGGPAExcl,LSAT75,FTLSAT75,PTLSAT75,LSAT50,FTLSAT50,PTLSAT50,LSAT25,FTLSAT25,PTLSAT25,LSATExcl,FTLSATExcl,PTLSATExcl,GMATEnrolled,ACTEnrolled,GREEnrolled,SATEnrolled,GMAT75,GMAT50,GMAT25,ACT75,ACT50,ACT25,GREVerbal75,GREVerbal50,GREVerbal25,GREQuant75,GREQuant50,GREQuant25,GREAnalytical75,GREAnalytical50,GREAnalytical25,SAT75,SAT50,SAT25,FTGREAnalytical25,FTGREAnalytical50,FTGREAnalytical75,FTGREQuant25,FTGREQuant50,FTGREQuant75,FTGREVerbal25,FTGREVerbal50,FTGREVerbal75,PTGREAnalytical25,PTGREAnalytical50,PTGREAnalytical75,PTGREQuant25,PTGREQuant50,PTGREQuant75,PTGREVerbal25,PTGREVerbal50,PTGREVerbal75
00100300,Faulkner University,2011,717,717,0,406,406,0,124,124,0,,,,,3.36,3.36,,3.04,3.04,,2.66,2.66,,,,,152,152,,149,149,,146,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2012,785,785,0,490,490,0,127,127,0,,,,,3.34,3.34,,3.05,3.05,,2.69,2.69,,,,,150,150,,147,147,,145,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2013,494,494,0,377,377,0,104,104,0,,,,,3.42,3.42,,3.14,3.14,,2.77,2.77,,,,,151,151,,146,146,,142,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2014,459,459,0,353,353,0,113,113,0,,,,,3.34,3.34,,2.98,2.98,,2.72,2.72,,0,0,,149,149,,145,145,,142,142,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2015,408,408,0,284,284,0,101,101,0,,,,,3.44,3.44,,2.96,2.96,,2.68,2.68,,0,0,,149,149,,145,145,,142,142,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2016,304,304,0,208,208,0,92,92,0,,,,,3.45,3.45,,2.92,2.92,,2.51,2.51,,0,0,,149,149,,145,145,,142,142,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2017,381,,,183,,,69,,,2,71,,,3.4,,,2.98,,,2.61,,,0,,,151,,,147,,,145,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2018,350,,,175,,,59,,,0,59,59,0,3.43,3.43,,3.13,3.13,,2.94,2.94,,0,0,,151,151,,149,149,,146,146,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2019,353,,,162,,,59,,,1,60,60,0,3.56,3.56,,3.08,3.08,,2.82,2.82,,0,0,,153,153,,150,150,,147,147,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2020,410,,,183,,,61,,,6,67,67,0,3.62,3.62,,3.28,3.28,,2.98,2.98,,1,1,,151,151,,148,148,,147,147,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
